Ticket ID,HS Customer,Subject,Source,Type,Weight,Created time,Initial response time,Resolved time,First response time (in hrs),Resolution time (in hrs),Agent interactions,Customer interactions
815,28,Can’t complete tickets ,Portal,Software Problem / Issue,2,7/4/2019 12:05,7/8/2019 8:51,7/22/2019 13:47,9:51:33,104:47:17,1,1
816,37,Void batch- Hughes Disposal,Email,General Question,2,7/8/2019 9:43,7/8/2019 9:56,7/8/2019 14:22,0:13:06,4:38:33,1,2
818,15,invoice,Portal,Data Entry Support,3,7/8/2019 10:33,,7/9/2019 14:39,0:00:00,13:06:01,0,1
819,18,Re: MISSING TICKET # AYRQ5PPJ,Email,Software Problem / Issue,4,7/8/2019 11:34,7/8/2019 12:27,7/8/2019 13:54,0:52:57,2:19:54,1,1
820,15,Re: Quickbooks Additional Customization,Email,Feature Request,4,7/8/2019 12:16,,7/9/2019 14:41,0:00:00,11:25:03,0,2
821,18,MISSING E-TICKET ,Portal,Software Problem / Issue,4,7/8/2019 12:31,,7/8/2019 13:38,0:00:00,1:06:51,0,1
824,20,Re: Dropbox folder,Email,General Question,3,7/9/2019 17:22,,7/22/2019 13:46,0:00:00,77:46:06,0,7
825,20,Errors,Email,Software Problem / Issue,3,7/10/2019 8:49,7/10/2019 9:12,7/22/2019 13:45,0:23:31,76:56:22,2,2
828,18,Moving Rolled Back Ticket Back to Original MT,Portal,Software Problem / Issue,3,7/11/2019 13:03,,7/11/2019 13:14,0:00:00,0:11:24,0,1
829,18,Re: DSS Questions,Email,General Question,4,7/11/2019 14:12,7/11/2019 14:46,7/31/2019 8:22,0:34:19,120:09:29,4,3
831,18,Dropbox Question,Email,General Question,2,7/15/2019 11:28,7/15/2019 11:38,7/16/2019 11:44,0:09:25,9:16:10,1,2
833,25,Leases disappearing,Portal,Software Problem / Issue,3,7/15/2019 16:22,,7/16/2019 16:00,0:00:00,8:38:18,0,1
834,28,Tablet issues,Portal,Software Problem / Issue,4,7/15/2019 19:44,7/15/2019 19:59,7/22/2019 13:46,0:00:00,41:46:45,2,1
836,19,CHECKING ON UPLOADS D=FROM YESTERDAY,Portal,General Question,1,7/16/2019 7:47,,7/16/2019 9:26,0:00:00,1:26:57,0,1
837,25,Auto hauls not scheduling correctly,Portal,Software Problem / Issue,3,7/16/2019 9:09,7/16/2019 9:23,7/16/2019 11:55,0:13:30,2:46:14,1,1
838,25,Auto haul still not rescheduling,Portal,Software Problem / Issue,4,7/16/2019 10:19,7/16/2019 11:49,7/16/2019 11:55,1:29:52,1:36:22,1,1
839,25,FW: No Load on Geraldine,Email,General Question,3,7/16/2019 12:28,7/16/2019 13:20,7/16/2019 16:00,0:52:18,3:32:04,1,1
840,18,Alex SWD #1,Email,Software Problem / Issue,4,7/16/2019 15:21,7/16/2019 15:26,7/16/2019 15:43,0:04:21,0:21:35,2,3
841,25,FW: No Load,Email,General Question,3,7/17/2019 8:34,7/17/2019 9:51,7/22/2019 13:42,1:17:11,32:08:37,1,2
